code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,hsl
"""股票代码""","""股票名称""","""K线类别""","""复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权""","""交易时间""","""开盘价""","""收盘价""","""最高价""","""最低价""","""成交量""","""成交额""","""换手率"""
300321,同大股份,101,0,2022-07-15,16.07,15.61,16.12,15.61,7656.0,1.21396E7,0.9
300322,硕贝德,101,0,2022-07-15,8.89,8.65,8.89,8.65,53362.0,4.68408E7,1.21
300323,华灿光电,101,0,2022-07-15,7.0,6.99,7.12,6.92,127432.0,8.9366704E7,1.39
300324,旋极信息,101,0,2022-07-15,3.25,3.42,3.55,3.16,551742.0,1.85259008E8,3.26
300326,凯利泰,101,0,2022-07-15,7.81,7.58,7.84,7.57,74618.0,5.7337E7,1.04
300327,中颖电子,101,0,2022-07-15,43.95,44.87,46.0,43.76,73805.0,3.33299008E8,2.18
300328,宜安科技,101,0,2022-07-15,8.48,8.8,9.1,8.41,521861.0,4.64376E8,7.66
300329,海伦钢琴,101,0,2022-07-15,6.69,6.45,6.71,6.44,45726.0,2.98193E7,1.81
300330,华虹计通,101,0,2022-07-15,8.83,8.57,8.88,8.56,22001.0,1.90534E7,1.31
300331,苏大维格,101,0,2022-07-15,16.99,16.69,17.08,16.68,24625.0,4.14834E7,1.23
300332,天壕环境,101,0,2022-07-15,12.46,12.98,13.29,12.45,246688.0,3.20075008E8,2.92
300333,兆日科技,101,0,2022-07-15,6.18,5.99,6.19,5.99,63429.0,3.8282E7,1.9
300334,津膜科技,101,0,2022-07-15,7.48,7.25,7.53,7.24,43348.0,3.16773E7,1.44
300335,迪森股份,101,0,2022-07-15,4.95,4.92,5.03,4.85,78045.0,3.8494E7,2.77
300336,*ST新文,101,0,2022-07-15,1.56,1.5,1.57,1.48,153311.0,2.32191E7,2.08
300337,银邦股份,101,0,2022-07-15,11.4,11.49,12.07,11.28,449237.0,5.24380992E8,6.33
300338,ST开元,101,0,2022-07-15,2.56,2.44,2.56,2.42,151854.0,3.74462E7,5.13
300339,润和软件,101,0,2022-07-15,16.95,17.03,17.43,16.88,280324.0,4.81259008E8,3.63
300340,科恒股份,101,0,2022-07-15,16.13,16.09,16.47,16.0,70018.0,1.13683E8,3.8
300341,麦克奥迪,101,0,2022-07-15,9.24,9.18,9.26,9.06,33157.0,3.04512E7,0.65
300342,天银机电,101,0,2022-07-15,9.36,9.73,10.28,9.3,191779.0,1.88984E8,4.64
300343,联创股份,101,0,2022-07-15,16.0,16.73,16.84,15.9,935933.0,1.5536E9,9.95
300344,立方数科,101,0,2022-07-15,4.4,4.22,4.41,4.22,138429.0,5.92132E7,2.82
300345,华民股份,101,0,2022-07-15,6.94,6.83,7.05,6.75,64396.0,4.44229E7,1.46
300346,南大光电,101,0,2022-07-15,31.25,31.11,32.39,31.1,145419.0,4.63115008E8,2.83
300347,泰格医药,101,0,2022-07-15,122.67,117.41,125.28,117.01,61026.0,7.3441101E8,1.08
300348,长亮科技,101,0,2022-07-15,9.11,8.87,9.11,8.84,86851.0,7.75602E7,1.42
300349,金卡智能,101,0,2022-07-15,9.3,9.1,9.36,9.09,31172.0,2.86416E7,0.82
300350,华鹏飞,101,0,2022-07-15,6.7,6.56,6.88,6.56,108637.0,7.30568E7,2.32
300351,永贵电器,101,0,2022-07-15,16.38,16.12,16.85,15.85,112205.0,1.83258E8,4.43
300352,北信源,101,0,2022-07-15,4.28,4.19,4.29,4.18,157835.0,6.65701E7,1.31
300353,东土科技,101,0,2022-07-15,8.52,8.3,8.55,8.3,51747.0,4.33157E7,1.24
300354,东华测试,101,0,2022-07-15,34.73,33.55,35.01,33.2,10754.0,3.6277E7,1.37
300355,蒙草生态,101,0,2022-07-15,3.97,3.83,3.97,3.82,420718.0,1.62754E8,3.22
300356,*ST光一,101,0,2022-07-15,2.07,1.99,2.09,1.99,61000.0,1.24199E7,1.56
300357,我武生物,101,0,2022-07-15,52.68,52.5,53.28,51.7,17828.0,9.3257904E7,0.38
300358,楚天科技,101,0,2022-07-15,17.4,17.0,17.4,16.82,45693.0,7.8070704E7,0.88
300359,全通教育,101,0,2022-07-15,5.08,4.94,5.1,4.93,94767.0,4.74192E7,1.5
300360,炬华科技,101,0,2022-07-15,13.56,13.93,14.14,13.4,145973.0,2.012E8,3.35
300363,博腾股份,101,0,2022-07-15,76.2,74.13,78.95,74.02,114920.0,8.7297798E8,2.54
300364,中文在线,101,0,2022-07-15,9.64,9.23,9.72,9.22,282083.0,2.65639008E8,4.34
300365,恒华科技,101,0,2022-07-15,7.96,7.64,7.98,7.61,159292.0,1.23195E8,4.58
300366,创意信息,101,0,2022-07-15,8.15,7.8,8.17,7.77,164546.0,1.3054E8,3.32
300368,汇金股份,101,0,2022-07-15,6.89,6.73,6.92,6.73,43825.0,2.9795E7,0.85
300369,绿盟科技,101,0,2022-07-15,9.69,9.39,9.71,9.39,94646.0,9.0067504E7,1.29
300370,*ST安控,101,0,2022-07-15,2.48,2.35,2.48,2.32,174055.0,4.18264E7,1.85
300371,汇中股份,101,0,2022-07-15,12.29,11.86,12.29,11.85,8004.0,9605370.0,0.73
300373,扬杰科技,101,0,2022-07-15,63.96,63.68,65.12,63.32,106978.0,6.88832E8,2.09
300374,中铁装配,101,0,2022-07-15,11.59,11.07,11.63,11.07,25953.0,2.90785E7,1.37
300375,鹏翎股份,101,0,2022-07-15,4.24,4.24,4.32,4.2,121693.0,5.20448E7,2.41
300376,易事特,101,0,2022-07-15,8.7,8.71,8.82,8.59,652090.0,5.6808499E8,2.81
